Model Name,Model Type,License Class,License Description,Commercial Use,License URL
Veo 3.1,Video,PROPRIETARY,Proprietary API Only,API Only,https://cloud.google.com/vertex-ai/generative-ai/docs/model-garden
Seedream,Video,PROPRIETARY,Proprietary API Only,API Only,https://www.byteplus.com/en/product/seedance
Sora 2,Video,PROPRIETARY,Proprietary API Only,API Only,https://openai.com/sora
Kling,Video,PROPRIETARY,Proprietary API Only,API Only,https://www.klingai.com/terms-of-service
Vidu Q1,Video,PROPRIETARY,Proprietary API Only,API Only,https://www.vidu.ai/terms
Seedance,Video,PROPRIETARY,Proprietary API Only,API Only,https://www.byteplus.com/en/product/seedance
Qwen 2.5 (All),Text / LLM,APACHE,Apache 2.0,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
DeepSeek r1,Text / LLM,MIT,MIT License,Allowed,https://github.com/deepseek-ai/DeepSeek-R1/blob/main/LICENSE
DeepSeek v3-0324,Text / LLM,MIT,MIT License,Allowed,https://github.com/deepseek-ai/DeepSeek-V3/blob/main/LICENSE
OLMo series,Text / LLM,APACHE,Apache 2.0,Allowed,https://github.com/allenai/OLMo/blob/main/LICENSE
gpt-oss-120b,Text / LLM,APACHE,Apache 2.0,Allowed,https://github.com/gpt-oss/gpt-oss-120b/blob/main/LICENSE
Phi 4,Text / LLM,MIT,MIT License,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/mit.md
IBM Granite,Text / LLM,APACHE,Apache 2.0,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
GLM 4 0414,Text / LLM,MIT,MIT License,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/mit.md
Mistral Small 3,Text / LLM,APACHE,Apache 2.0,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
Ideogram V3,Image,PROPRIETARY,Proprietary API Only,API Only,https://ideogram.ai/terms-of-service
Ray2 (Luma),Video,PROPRIETARY,Proprietary API Only,API Only,https://lumalabs.ai/legal/terms
Runway Gen-4,Video,PROPRIETARY,Proprietary API Only,API Only,https://runwayml.com/terms-of-use
Bria.ai (FIBO),Image,ENTERPRISE_REQUIRED,Requires Enterprise/Commercial License,Not Allowed,https://bria.ai/legal-lobby
Recraft,Image,PROPRIETARY,Proprietary API Only,API Only,https://www.recraft.ai/terms
Trellis,3D,MIT,MIT License,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/mit.md
Trellis 2,3D,MIT,MIT License,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/mit.md
Hunyuan T1,Text / LLM,PROPRIETARY,Proprietary API Only,API Only,https://cloud.tencent.com/document/product/1729
Qwen-Image-Edit-2511,Image,APACHE,Apache 2.0,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
SeedVR2,Video / 3D,APACHE,Apache 2.0,Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
